sample_id,production_year,coverage_hifi,deepconsensus_coverage_hifi,coverage_non_dc,coverage_mm_hifi,hifi_prod_site,n50_hifi,phasing,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,read_N50_ont,sequencing_chemistry_ont,notes
HG01786,YR4,73.6,0,73.60,73.6,WUSTL,18229.17,hic,44.68,57.26,16075474,80.92,24.18,68488,R1041,top up ONT UL being done
HG01798,YR4,75.91,0,75.91,75.91,WUSTL,20508.97,hic,86.8,46.45,18396013,52.72,27.13,103503,R1041,
HG01894,YR4,61.27,0,61.27,61.27,WUSTL,20071.85,hic,76.6,43.55,15349920,48.59,25.84,106559,R1041,
HG02178,YR4,63.3,0,63.30,63.3,RU,22031.25,hic,44.86,35.69,16132486,60.32,23.09,79878,R1041,top up ONT UL being done
HG02392,YR4,62.2,0,62.20,62.2,RU,20873.18,hic,50.18,35.91,17381819,77.73,37.42,96187,R1041,
HG02583,YR4,64.9,0,64.90,64.9,RU,23106.47,hic,60.94,46.15,13872453,80.64,31.14,78709,R1041,
HG02624,YR4,57.73,0,57.73,57.73,RU,21597.71,hic,66.24,44.06,15032535,71.33,32.19,91164,R1041,
HG03072,YR4,62.27,0,62.27,62.27,RU,20590.25,hic,89.58,48.55,14064480,56.17,33.21,134747,R1041,
HG03103,YR4,56.36,0,56.36,56.36,UW,18407.64,hic,85.52,46.21,10716625,49.8,25.74,103300,R1041,
HG03108,YR4,59.63,0,59.63,59.63,RU,21033.87,hic,80.56,41.67,16335433,61.84,26.6,87242,R1041,
HG03136,YR4,58.52,0,58.52,58.52,UW,18390.81,hic,96,33.67,13574108,69.23,24.6,74228,R1041,top up ONT UL being done
HG03270,YR4,64.6,0,64.60,64.6,RU,19750.44,hic,69.96,61.15,16007083,74.44,17.64,56433,R1041,top up ONT UL being done
HG03343,YR4,58.32,0,58.32,58.32,WUSTL,21997.93,hic,89.76,45.33,,68.98,27.9,82993,R1041,
HG03369,YR4,61.5,0,61.50,61.5,RU,19708,hic,79.7,44.77,13902428,57.72,27.94,97164,R1041,
HG03372,YR4,62.15,0,62.15,62.15,RU,21765.16,hic,82.98,41.33,10498986,129.38,48.03,76176,R1041,
HG03388,YR4,75.88,0,75.88,75.88,WUSTL,20866.89,hic,93.84,33.94,15281436,51.21,23.2,91970,R1041,top up ONT UL being done
HG03445,YR4,59.5,0,59.50,59.5,RU,19142.05,hic,94.88,32.79,14693258,71.39,33.09,93675,R1041,
HG03457,YR4,58.02,0,58.02,58.02,UW,20152.82,hic,83.24,44.12,12542717,89.75,30.61,71082,R1041,
HG03521,YR4,67.3,0,67.30,67.3,UW,20576.33,hic,75.44,37.35,15478900,87.77,32.76,76134,R1041,
HG03583,YR4,57.1,0,57.10,57.1,RU,23065.32,hic,28.24,35.93,22782912,43.83,18.71,87657,R1041,top up ONT UL being done
HG03611,YR4,58.35,0,58.35,58.35,UW,21544.58,hic,54.65,71.94,17454056,86.18,31.98,78370,R1041,hic added
